title,description,date,content,source.id,source.name,symbol,result
"After a lacklustre 2023, will 2024 be a year of mega-caps?","Mega stocks such as HDFC Bank, Reliance Industries, ICICI Bank, Infosys, TCS, Axis Bank and Kotak Mahindra Bank, which collectively account for 48% of the total Nifty 50 weightage, have given return of 9.58% in 2023 compared with the Nifty 50's return of 20%.",31-12-2023,"SynopsisMega stocks such as HDFC Bank, Reliance Industries, ICICI Bank, Infosys, TCS, Axis Bank and Kotak Mahindra Bank, which collectively account for 48% of the total Nifty 50 weightage, have given… [+67 chars]",the-times-of-india,The Times of India,HDFCBANK,0
,The iQOO 12 is now official in India serving as the first phone to launch with Qualcomms Snapdragon 8 Gen 3 chip in the country. The device will be available in Alpha Black and Legend White colors wi… [+841 chars],12-12-2023,,,GSMArena.com,BIOCON,1
"F&O stocks to buy or sell today: ICICI Bank, Maruti among top 6 trading ideas","The S&P BSE Sensex rose nearly 400 points while the Nifty50 closed above 21,300 levels on Thursday. The Nifty future closed positive with gains of 0.75% at 21376 levels.",22-12-2023,"The Indian market is likely to trade higher on Friday tracking positive global cues.The S&amp;P BSE Sensex rose nearly 400 points while the Nifty50 closed above 21,300 levels on Thursday. The Nifty f… [+2009 chars]",the-times-of-india,The Times of India,SBIBANK,1
